,path,label,split,from_dataset
0,train/1/Celeb-synthesis__id20_id1_0004.mp4/*.png,1,train,DFDS
1,train/1/Celeb-synthesis__id26_id32_0001.mp4/*.png,1,train,DFDS
2,train/1/Celeb-synthesis__id51_id49_0000.mp4/*.png,1,train,DFDS
3,train/1/Celeb-synthesis__id9_id30_0009.mp4/*.png,1,train,DFDS
4,train/1/Celeb-synthesis__id48_id39_0001.mp4/*.png,1,train,DFDS
5,train/1/Celeb-synthesis__id23_id3_0000.mp4/*.png,1,train,DFDS
6,train/1/Celeb-synthesis__id45_id44_0005.mp4/*.png,1,train,DFDS
7,train/1/Celeb-synthesis__id28_id27_0001.mp4/*.png,1,train,DFDS
8,train/1/Celeb-synthesis__id49_id53_0005.mp4/*.png,1,train,DFDS
9,train/1/Celeb-synthesis__id3_id16_0009.mp4/*.png,1,train,DFDS
10,train/1/Celeb-synthesis__id32_id33_0001.mp4/*.png,1,train,DFDS
11,train/1/Celeb-synthesis__id43_id39_0002.mp4/*.png,1,train,DFDS
12,train/1/Celeb-synthesis__id23_id28_0009.mp4/*.png,1,train,DFDS
13,train/1/Celeb-synthesis__id25_id28_0007.mp4/*.png,1,train,DFDS
14,train/1/Celeb-synthesis__id20_id30_0005.mp4/*.png,1,train,DFDS
15,train/1/Celeb-synthesis__id49_id56_0008.mp4/*.png,1,train,DFDS
16,train/1/Celeb-synthesis__id2_id0_0008.mp4/*.png,1,train,DFDS
17,train/1/Celeb-synthesis__id3_id35_0003.mp4/*.png,1,train,DFDS
18,train/1/Celeb-synthesis__id31_id17_0002.mp4/*.png,1,train,DFDS
19,train/1/Celeb-synthesis__id33_id31_0004.mp4/*.png,1,train,DFDS
20,train/1/Celeb-synthesis__id48_id47_0009.mp4/*.png,1,train,DFDS
21,train/1/Celeb-synthesis__id12_id7_0006.mp4/*.png,1,train,DFDS
22,train/1/Celeb-synthesis__id8_id1_0002.mp4/*.png,1,train,DFDS
23,train/1/Celeb-synthesis__id26_id23_0003.mp4/*.png,1,train,DFDS
24,train/1/Celeb-synthesis__id12_id10_0005.mp4/*.png,1,train,DFDS
25,train/1/Celeb-synthesis__id30_id31_0004.mp4/*.png,1,train,DFDS
26,train/1/Celeb-synthesis__id35_id21_0009.mp4/*.png,1,train,DFDS
27,train/1/Celeb-synthesis__id21_id16_0004.mp4/*.png,1,train,DFDS
28,train/1/Celeb-synthesis__id50_id54_0006.mp4/*.png,1,train,DFDS
29,train/1/Celeb-synthesis__id41_id47_0005.mp4/*.png,1,train,DFDS
30,train/1/Celeb-synthesis__id35_id28_0003.mp4/*.png,1,train,DFDS
31,train/1/Celeb-synthesis__id1_id30_0009.mp4/*.png,1,train,DFDS
32,train/1/Celeb-synthesis__id54_id57_0003.mp4/*.png,1,train,DFDS
33,train/1/Celeb-synthesis__id57_id50_0005.mp4/*.png,1,train,DFDS
34,train/1/Celeb-synthesis__id21_id9_0000.mp4/*.png,1,train,DFDS
35,train/1/Celeb-synthesis__id54_id50_0003.mp4/*.png,1,train,DFDS
36,train/1/Celeb-synthesis__id0_id6_0006.mp4/*.png,1,train,DFDS
37,train/1/Celeb-synthesis__id48_id42_0001.mp4/*.png,1,train,DFDS
38,train/1/Celeb-synthesis__id9_id28_0004.mp4/*.png,1,train,DFDS
39,train/1/Celeb-synthesis__id48_id47_0004.mp4/*.png,1,train,DFDS
40,train/1/Celeb-synthesis__id31_id28_0002.mp4/*.png,1,train,DFDS
41,train/1/Celeb-synthesis__id38_id30_0000.mp4/*.png,1,train,DFDS
42,train/1/Celeb-synthesis__id58_id56_0001.mp4/*.png,1,train,DFDS
43,train/1/Celeb-synthesis__id30_id33_0007.mp4/*.png,1,train,DFDS
44,train/1/Celeb-synthesis__id40_id43_0004.mp4/*.png,1,train,DFDS
45,train/1/Celeb-synthesis__id31_id37_0006.mp4/*.png,1,train,DFDS
46,train/1/Celeb-synthesis__id46_id42_0007.mp4/*.png,1,train,DFDS
47,train/1/Celeb-synthesis__id46_id41_0005.mp4/*.png,1,train,DFDS
48,train/1/Celeb-synthesis__id57_id53_0002.mp4/*.png,1,train,DFDS
49,train/1/Celeb-synthesis__id40_id48_0000.mp4/*.png,1,train,DFDS
50,train/1/Celeb-synthesis__id52_id56_0007.mp4/*.png,1,train,DFDS
51,train/1/Celeb-synthesis__id35_id33_0000.mp4/*.png,1,train,DFDS
52,train/1/Celeb-synthesis__id33_id38_0008.mp4/*.png,1,train,DFDS
53,train/1/Celeb-synthesis__id7_id12_0002.mp4/*.png,1,train,DFDS
54,train/1/Celeb-synthesis__id16_id37_0012.mp4/*.png,1,train,DFDS
55,train/1/Celeb-synthesis__id4_id3_0001.mp4/*.png,1,train,DFDS
56,train/1/Celeb-synthesis__id45_id47_0006.mp4/*.png,1,train,DFDS
57,train/1/Celeb-synthesis__id20_id19_0000.mp4/*.png,1,train,DFDS
58,train/1/Celeb-synthesis__id47_id40_0008.mp4/*.png,1,train,DFDS
59,train/1/Celeb-synthesis__id24_id23_0004.mp4/*.png,1,train,DFDS
60,train/1/Celeb-synthesis__id48_id45_0008.mp4/*.png,1,train,DFDS
61,train/1/Celeb-synthesis__id44_id47_0003.mp4/*.png,1,train,DFDS
62,train/1/Celeb-synthesis__id52_id55_0008.mp4/*.png,1,train,DFDS
